MAC address,System Name,Date,Time,RAM Usage,CPU Utilization,Idle Time,HDD utilization,Network stats,
08:00:27:06:c8:52,sabakarim-VM,2023-11-22,11:36:17,82.356099,14.898315,1352.870000,18.085106,Connected,
08:00:27:06:c8:52,sabakarim-VM,2023-11-22,11:36:22,82.356099,14.836319,1362.670000,18.085106,Connected,
08:00:27:06:c8:52,sabakarim-VM,2023-11-22,11:36:27,82.356099,14.773609,1372.750000,18.085106,Connected,
08:00:27:06:c8:52,sabakarim-VM,2023-11-22,11:36:33,82.400083,14.711979,1382.570000,18.085106,Connected,
08:00:27:06:c8:52,sabakarim-VM,2023-11-23,12:38:08,97.089536,28.982726,2667.700000,18.063830,Connected,
08:00:27:06:c8:52,sabakarim-VM,2023-11-23,12:38:13,97.102032,28.936575,2676.810000,18.063830,Connected,
08:00:27:06:c8:52,sabakarim-VM,2023-11-23,12:38:18,97.139518,28.888189,2685.950000,18.063830,Connected,
08:00:27:06:c8:52,sabakarim-VM,2023-11-23,12:38:24,97.158312,28.834787,2695.660000,18.063830,Connected,
08:00:27:06:c8:52,sabakarim-VM,2023-11-23,12:38:29,97.183503,28.786530,2704.830000,18.063830,Connected,
08:00:27:06:c8:52,sabakarim-VM,2023-11-23,12:38:34,96.346301,28.741762,2713.870000,18.063830,Connected,
